"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","U","X","Y"
"951","a","b","a","a","a","a","a","c","b","b","c","b","a","a","a","a","b","c","a","c"
"952","b","a","a","b","a","c","a","a","a","b","c","a","c","a","a","a","b","b","a","a"
"953","a","c","a","b","b","b","b","c","c","b","c","b","a","a","b","a","c","a","a","b"
"954","b","b","a","c","a","b","a","a","b","a","c","a","a","a","a","a","b","a","b","a"
"955","b","a","c","b","c","a","a","c","b","a","b","c","c","a","b","b","b","b","b","c"
"956","b","a","a","c","a","a","b","b","a","a","b","a","c","c","a","b","a","a","c","c"
"957","b","c","a","b","a","a","a","c","c","a","b","c","c","c","a","c","c","c","c","a"
"958","c","b","c","a","b","a","a","b","b","b","b","b","a","a","c","c","c","c","b","c"
"959","a","b","a","b","a","a","a","a","b","c","b","c","a","a","a","a","a","c","a","a"
"960","a","b","a","c","b","b","a","b","c","b","b","b","a","a","c","c","a","c","a","a"
"961","b","a","a","b","b","c","a","a","c","b","c","a","c","c","a","a","a","a","a","a"
"962","b","a","a","b","b","c","c","b","c","b","c","a","b","c","b","c","b","a","a","c"
"963","a","a","a","c","a","c","b","c","b","b","c","b","a","a","b","c","a","a","a","a"
"964","c","b","b","a","c","c","b","a","c","b","c","a","a","a","a","a","c","b","b","a"
"965","b","c","a","c","b","a","a","a","b","a","a","b","a","a","a","a","c","a","c","b"
"966","c","c","a","b","a","a","a","b","c","c","a","a","c","c","b","c","b","b","b","c"
"967","b","c","c","b","a","c","a","a","b","b","c","a","a","a","c","a","b","c","b","c"
"968","a","a","a","a","c","a","a","c","c","b","c","b","b","c","c","c","a","a","a","a"
"969","a","a","c","c","a","b","a","a","c","b","a","b","a","b","a","a","a","b","c","a"
"970","b","a","c","a","b","b","a","a","c","c","c","a","b","c","a","a","a","a","c","a"
"971","b","b","c","b","b","c","c","c","c","b","c","c","c","c","c","a","b","c","b","a"
"972","b","a","a","b","b","a","a","a","b","b","c","b","a","a","a","a","a","a","a","c"
"973","b","a","a","b","a","a","a","a","c","c","a","a","a","c","a","a","c","b","c","b"
"974","b","a","c","c","c","c","b","a","b","b","c","c","b","c","c","c","c","a","c","b"
"975","c","c","c","a","a","b","a","a","c","c","c","a","b","c","a","b","b","b","b","b"
"976","b","c","a","b","a","c","a","a","a","c","b","c","c","b","c","a","a","b","b","a"
"977","b","a","a","b","a","c","b","b","b","b","c","b","a","b","c","c","a","b","a","c"
"978","b","c","b","b","b","b","a","b","b","b","c","a","b","c","b","a","c","c","c","a"
"979","c","c","b","a","c","b","b","a","b","b","b","b","a","c","c","a","b","c","c","b"
"980","b","a","a","c","a","b","a","a","c","c","a","c","c","b","a","b","a","a","a","a"
"981","b","a","a","b","b","b","a","b","a","b","c","c","c","c","a","a","c","a","c","b"
"982","a","a","a","b","b","b","a","a","c","c","a","a","c","c","b","b","b","a","b","c"
"983","a","a","a","a","a","a","a","a","b","a","c","a","c","c","a","b","a","a","a","a"
"984","c","c","a","b","c","b","b","a","b","a","c","b","a","a","a","a","c","c","c","a"
"985","b","c","c","b","c","a","a","c","b","a","c","a","b","a","c","c","b","c","c","c"
"986","b","a","c","b","c","a","b","c","b","a","b","c","c","c","c","c","c","c","c","b"
"987","a","b","a","a","a","a","a","a","c","b","c","a","c","c","c","b","a","c","a","a"
"988","a","a","b","a","b","a","a","a","b","b","a","b","c","b","b","b","b","a","b","c"
"989","b","a","a","b","c","b","b","a","b","b","c","a","b","c","a","a","a","a","a","b"
"990","b","a","a","c","b","a","a","b","c","c","b","c","a","a","b","a","a","b","a","a"
"991","b","a","b","c","c","c","c","c","c","c","c","a","c","c","a","a","c","c","c","b"
"992","a","c","a","b","a","c","a","a","a","a","b","c","c","c","a","c","a","b","c","b"
"993","a","c","b","c","a","b","c","b","a","b","c","c","b","a","c","a","c","b","c","a"
"994","b","a","c","c","a","b","b","b","c","b","c","a","b","c","a","a","c","b","c","b"
"995","a","a","a","a","b","b","a","a","b","a","c","a","a","a","a","a","a","a","c","a"
"996","b","c","b","a","a","a","a","a","b","c","a","b","a","c","c","a","c","c","c","a"
"997","c","a","c","b","a","a","a","a","b","a","b","c","c","c","b","a","a","b","c","a"
"998","a","c","c","c","a","a","a","a","b","b","c","a","b","c","a","a","a","c","b","a"
"999","a","b","b","a","a","a","a","a","a","b","c","b","a","a","c","c","c","c","c","a"
"1000","a","b","a","b","c","b","a","a","a","c","b","a","c","c","a","a","c","a","c","a"
